2019-10-21 09:40:36 [org.springframework.context.support.ClassPathXmlApplicationContext]-[INFO] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@7e03f9ad: startup date [Mon Oct 21 09:40:36 CST 2019]; root of context hierarchy
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendAuthorizationToMerchant': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.SendAuthorizationToMerchant]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.SendAuthorizationToMerchant]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'sendCancellationToCardHolder': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.SendCancellationToCardHolder]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.SendCancellationToCardHolder]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'emailSend': replacing [Generic bean: class [com.fhtpay.task.service.emailservice.EmailSendImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.emailservice.EmailSendImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'taskExecutor': replacing [Generic bean: class [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'mailSender': replacing [Generic bean: class [org.springframework.mail.javamail.JavaMailSenderImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [org.springframework.mail.javamail.JavaMailSenderImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'freeMarker': replacing [Generic bean: class [org.springframework.web.servlet.view.freemarker.FreeMarkerConfigurer]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [org.springframework.web.servlet.view.freemarker.FreeMarkerConfigurer]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'containsRuleProcessService': replacing [Generic bean: class [com.fhtpay.task.service.suspicious.ContainsSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.suspicious.ContainsSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'eqRuleProcessService': replacing [Generic bean: class [com.fhtpay.task.service.suspicious.EqSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.suspicious.EqSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'gtRuleProcessService': replacing [Generic bean: class [com.fhtpay.task.service.suspicious.GtSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.suspicious.GtSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
2019-10-21 09:40:36 [org.springframework.beans.factory.support.DefaultListableBeanFactory]-[INFO] Overriding bean definition for bean 'ltRuleProcessService': replacing [Generic bean: class [com.fhtpay.task.service.suspicious.LtSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]] with [Generic bean: class [com.fhtpay.task.service.suspicious.LtSuspiciousRuleProcessServiceImpl]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in file [E:\workspace\cldTask\bin\springconfig\spring-transctionManage.xml]]
